City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
224,Rosetta,EG,74.44,clear sky,31.4044,30.4164,Green Valley
225,Khirkiya,IN,77.86,overcast clouds,22.1674,76.8605,Sanjay Industries
226,Ler,SS,72.75,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
227,Alekseyevsk,RU,83.44,scattered clouds,57.8406,108.3492,
228,Shingu,JP,83.14,scattered clouds,33.7333,135.9833,Shingu UI Hotel
231,Southbridge,US,78.08,broken clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
232,Banda Aceh,ID,85.26,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
233,Isabela,PH,86.05,overcast clouds,6.7085,121.9711,Isawad Resort
235,Surin,TH,89.42,light rain,14.8818,103.4936,One Fu Hotel
238,Linjiang,CN,84.02,broken clouds,41.8069,126.9078,格林豪泰
239,Huanren,CN,73.13,moderate rain,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
240,Bengkulu,ID,80.85,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
241,Neiafu,TO,83.08,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
242,Vero Beach,US,84.04,clear sky,27.6386,-80.3973,Kimpton Vero Beach Hotel & Spa
244,Khandyga,RU,78.89,few clouds,62.6667,135.6,Apel'sin
246,Chahuites,MX,80.17,few clouds,16.2833,-94.1833,Ballado
248,Berdigestyakh,RU,80.17,few clouds,62.0989,126.6992,
249,Toro,CO,75.88,overcast clouds,4.6117,-76.0814,"Finca La María Toro, Valle del Cauca"
252,Labuhan,ID,83.59,light rain,-6.8844,112.2051,DoubleFAG
253,Barda,AZ,74.82,clear sky,40.3744,47.1267,Prins Motel Restoran
254,Bethel,US,80.69,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
260,Road Town,VG,82.49,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
262,Portland,US,78.73,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
269,Sabzevar,IR,81.68,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
270,Bosaso,SO,86.94,scattered clouds,11.2842,49.1816,Red Sea Hotel
274,Manggar,ID,82.53,broken clouds,-2.8833,108.2667,Guest Hotel
278,Padilla,CO,71.17,overcast clouds,3.2204,-76.3139,La Granadina
282,Samarai,PG,82.56,broken clouds,-10.6167,150.6667,Nuli Sapi
283,Ca Mau,VN,85.8,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
288,Majene,ID,84.0,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
289,Golden,US,74.91,broken clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
290,Fairbanks,US,86.49,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
291,Touros,BR,74.7,light rain,-5.1989,-35.4608,INN NEW HORIZON
293,Cambridge,CA,72.79,overcast clouds,43.3601,-80.3127,Cambridge Gateway Suites
297,Buchanan,LR,76.62,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
299,Harper,LR,75.97,broken clouds,4.375,-7.7169,Screensaver
301,Catia La Mar,VE,79.0,broken clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
305,Son La,VN,81.52,broken clouds,21.3167,103.9,Galaxy Grand Hotel
306,Mogadishu,SO,75.33,light rain,2.0371,45.3438,Hotel Juba
311,Dingle,PH,87.35,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
312,Conde,BR,74.66,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
316,Sao Filipe,CV,73.99,scattered clouds,14.8961,-24.4956,Hotel Xaguate
319,Srandakan,ID,81.09,broken clouds,-7.9386,110.2506,Puri Brata
320,Honiara,SB,88.21,clear sky,-9.4333,159.95,Heritage Park Hotel
321,Caravelas,BR,70.57,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
322,Nicoya,CR,73.58,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
324,Itarema,BR,76.1,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
326,Lodwar,KE,73.44,scattered clouds,3.1191,35.5973,Solmar Gracious Hotel
329,Atar,MR,85.46,clear sky,20.5169,-13.0499,Oumou Elghoura
