City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Cape Town,ZA,-33.9258,18.4232,61.88,85,75,20.71,broken clouds
174,Yekaterinoslavka,RU,50.3734,129.1139,78.96,69,100,8.08,overcast clouds
175,College,US,64.8569,-147.8028,86.47,36,75,1.01,smoke
176,Carutapera,BR,-1.195,-46.02,75.09,89,0,5.01,clear sky
177,Havre-Saint-Pierre,CA,50.2334,-63.5986,59.36,88,100,3.44,overcast clouds
178,Tongliao,CN,43.6125,122.2653,83.08,57,97,8.86,overcast clouds
179,Maralal,KE,1.0968,36.698,53.94,82,37,4.27,scattered clouds
180,Morondava,MG,-20.2833,44.2833,65.97,62,0,12.1,clear sky
181,Mananjary,MG,-21.2167,48.3333,65.95,87,63,7.27,light rain
182,Tezu,IN,27.9167,96.1667,87.44,64,16,3.09,few clouds
183,Provideniya,RU,64.3833,-173.3,47.41,96,100,5.84,light rain
184,Tsabong,BW,-26.0217,22.401,55.69,58,26,11.56,scattered clouds
185,Pinawa,CA,50.1489,-95.8811,48.07,68,1,4.61,clear sky
186,Una,IN,20.8167,71.0333,83.03,80,100,14.63,overcast clouds
187,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,91,40,10.36,scattered clouds
188,Victoria,HK,22.2855,114.1577,80.96,93,100,11.01,light rain
189,Cherskiy,RU,68.75,161.3,55.15,61,100,10.67,overcast clouds
190,Chuy,UY,-33.6971,-53.4616,54.91,93,92,11.3,overcast clouds
191,Isangel,VU,-19.55,169.2667,82.51,94,75,6.91,broken clouds
192,Rundu,NA,-17.9333,19.7667,47.86,69,0,5.95,clear sky
193,Barrow,US,71.2906,-156.7887,53.62,66,0,13.8,clear sky
194,Palora,EC,-1.7,-77.9333,63.21,98,41,2.44,light rain
195,Nouadhibou,MR,20.931,-17.0347,67.08,84,0,22.62,clear sky
196,Nouakchott,MR,18.0858,-15.9785,75.13,73,68,18.3,broken clouds
197,Padang,ID,-0.9492,100.3543,82.45,67,7,3.09,clear sky
198,Pacocha,PE,-17.5833,-71.3333,58.69,82,41,3.85,scattered clouds
199,Half Moon Bay,US,37.4636,-122.4286,66.88,84,100,21.85,mist
200,Caucasia,CO,7.9865,-75.1935,75.38,94,100,4.79,overcast clouds
201,Moussoro,TD,13.6408,16.4901,84.27,51,54,10.98,broken clouds
202,Longyearbyen,SJ,78.2186,15.6401,42.64,93,75,9.22,broken clouds
203,Bandarbeyla,SO,9.4942,50.8122,81.72,52,100,28.34,overcast clouds
204,Baghdad,IQ,33.3406,44.4009,82.31,26,0,11.5,clear sky
205,Staryy Nadym,RU,65.6118,72.6842,51.33,73,100,12.62,overcast clouds
206,Sovetskaya Gavan,RU,48.9723,140.2878,77.47,57,93,6.31,overcast clouds
207,Yaan,NG,7.3833,8.5667,70.54,95,98,2.86,light rain
208,Chilca,PE,-12.5211,-76.7372,60.39,88,45,4.94,scattered clouds
209,Banff,CA,51.1762,-115.5698,63.63,51,78,9.22,light rain
210,Camacha,PT,33.0833,-16.3333,65.62,83,75,14.97,broken clouds
211,Klaksvik,FO,62.2266,-6.589,50.92,98,100,14.9,moderate rain
212,Gimli,CA,50.6336,-96.9907,62.62,55,1,14.97,clear sky
213,Tigil,RU,57.8,158.6667,55.22,81,100,7.96,overcast clouds
214,Raton,US,36.9034,-104.4391,70.41,49,75,11.5,broken clouds
215,Kiunga,PG,-6.1219,141.2906,90.46,58,48,1.52,scattered clouds
216,Tuatapere,NZ,-46.1333,167.6833,51.37,80,64,6.44,light rain
217,Ponta Do Sol,PT,32.6667,-17.1,71.01,80,22,5.26,few clouds
218,Norman Wells,CA,65.282,-126.8329,78.84,34,40,9.22,scattered clouds
219,Conceicao Do Araguaia,BR,-8.2578,-49.2647,75.06,50,5,1.39,clear sky
220,Rio Cuarto,AR,-33.1307,-64.3499,50.47,55,59,7.07,broken clouds
221,Luanda,AO,-8.8368,13.2343,68.0,94,75,3.44,broken clouds
222,Ilo,PE,-17.6394,-71.3375,59.23,81,31,6.04,scattered clouds
223,Floro,NO,61.5996,5.0328,62.96,88,100,21.85,light intensity shower rain
224,Rosetta,EG,31.4044,30.4164,74.44,81,0,6.78,clear sky
225,Khirkiya,IN,22.1674,76.8605,77.86,87,100,8.03,overcast clouds
226,Ler,SS,8.3018,30.1418,72.75,62,100,2.35,overcast clouds
227,Alekseyevsk,RU,57.8406,108.3492,83.44,48,44,2.51,scattered clouds
228,Shingu,JP,33.7333,135.9833,83.14,73,33,6.44,scattered clouds
229,Asau,RO,46.4333,26.4,65.32,82,0,3.49,clear sky
230,Sorland,NO,67.667,12.6934,58.86,84,66,19.35,broken clouds
231,Southbridge,US,42.0751,-72.0334,78.08,90,83,7.0,broken clouds
232,Banda Aceh,ID,5.5577,95.3222,85.26,64,100,18.34,overcast clouds
233,Isabela,PH,6.7085,121.9711,86.05,64,99,13.6,overcast clouds
234,Hvolsvollur,IS,63.7533,-20.2243,48.15,94,23,1.61,few clouds
235,Surin,TH,14.8818,103.4936,89.42,95,100,12.93,light rain
236,Llangefni,GB,53.2556,-4.3106,57.06,94,100,13.8,overcast clouds
237,Torres,BR,-29.3353,-49.7269,65.82,91,2,9.4,clear sky
238,Linjiang,CN,41.8069,126.9078,84.02,54,69,12.88,broken clouds
239,Huanren,CN,41.2647,125.3667,73.13,93,100,9.78,moderate rain
240,Bengkulu,ID,-3.8004,102.2655,80.85,63,77,0.09,broken clouds
241,Neiafu,TO,-18.65,-173.9833,83.08,69,40,13.8,scattered clouds
242,Vero Beach,US,27.6386,-80.3973,84.04,79,0,6.91,clear sky
243,Xining,CN,36.6167,101.7667,65.48,54,0,2.15,clear sky
244,Khandyga,RU,62.6667,135.6,78.89,39,22,3.04,few clouds
245,Bundaberg,AU,-24.85,152.35,63.21,99,100,1.99,light rain
246,Chahuites,MX,16.2833,-94.1833,80.17,83,11,5.41,few clouds
247,Prince Rupert,CA,54.3161,-130.3201,60.49,87,40,12.66,scattered clouds
248,Berdigestyakh,RU,62.0989,126.6992,80.17,37,14,4.65,few clouds
249,Toro,CO,4.6117,-76.0814,75.88,97,99,2.66,overcast clouds
250,Kaeo,NZ,-35.1,173.7833,60.33,73,100,4.29,overcast clouds
251,Codrington,AU,-38.2667,141.9667,51.87,62,100,9.44,overcast clouds
252,Labuhan,ID,-6.8844,112.2051,83.59,70,71,6.51,light rain
253,Barda,AZ,40.3744,47.1267,74.82,36,3,0.25,clear sky
254,Bethel,US,41.3712,-73.414,80.69,65,40,8.05,scattered clouds
255,Cidreira,BR,-30.1811,-50.2056,59.74,86,4,17.74,clear sky
256,Mocuba,MZ,-16.8392,36.9856,62.28,97,99,0.51,overcast clouds
257,Marienburg,PL,54.0359,19.0266,67.12,95,100,9.62,overcast clouds
258,Constitucion,CL,-35.3333,-72.4167,47.84,77,83,2.35,broken clouds
259,Kalachinsk,RU,55.0529,74.5751,59.14,77,73,10.02,broken clouds
260,Road Town,VG,18.4167,-64.6167,82.49,80,5,24.63,clear sky
261,Nipawin,CA,53.3668,-104.0009,59.04,72,20,5.75,few clouds
262,Portland,US,45.5234,-122.6762,78.73,59,20,10.36,few clouds
263,Serebryansk,KZ,49.6925,83.2892,64.08,52,0,0.85,clear sky
264,Ribeira Grande,PT,38.5167,-28.7,68.31,85,89,8.28,overcast clouds
265,Tsiroanomandidy,MG,-18.7667,46.0333,47.93,85,0,2.39,clear sky
266,Peniche,PT,39.3558,-9.3811,64.29,89,28,13.31,scattered clouds
267,Alta,NO,69.9689,23.2717,69.06,78,6,9.22,clear sky
268,Kalmar,SE,56.6616,16.3616,65.14,95,46,4.0,scattered clouds
269,Sabzevar,IR,36.2126,57.6819,81.68,24,0,16.11,clear sky
270,Bosaso,SO,11.2842,49.1816,86.94,44,38,17.38,scattered clouds
271,Bambous Virieux,MU,-20.3428,57.7575,68.25,83,75,11.5,broken clouds
272,Aviles,ES,43.5547,-5.9248,60.19,85,0,4.61,clear sky
273,Rio Gallegos,AR,-51.6226,-69.2181,30.25,69,0,5.75,clear sky
274,Manggar,ID,-2.8833,108.2667,82.53,82,79,11.65,broken clouds
275,Mehran,IR,33.1222,46.1646,92.48,15,0,17.81,clear sky
276,Mahebourg,MU,-20.4081,57.7,68.29,83,75,11.5,broken clouds
277,Bonavista,CA,48.6499,-53.1147,54.77,95,47,7.58,scattered clouds
278,Padilla,CO,3.2204,-76.3139,71.17,92,100,4.38,overcast clouds
279,Evensk,RU,61.95,159.2333,59.36,64,100,11.27,overcast clouds
280,Yangambi,CD,0.8102,24.4336,68.11,97,83,2.01,broken clouds
281,Torbay,CA,47.6666,-52.7314,57.97,91,0,3.44,clear sky
282,Samarai,PG,-10.6167,150.6667,82.56,80,74,15.26,broken clouds
283,Ca Mau,VN,9.1769,105.15,85.8,70,99,9.44,overcast clouds
284,Hasaki,JP,35.7333,140.8333,99.28,76,70,13.24,broken clouds
285,Ostrovnoy,RU,68.0531,39.5131,46.27,87,96,2.55,overcast clouds
286,Lima,PE,-12.0432,-77.0282,59.25,90,100,9.22,overcast clouds
287,Atherton,GB,53.5237,-2.4935,56.43,88,83,5.01,broken clouds
288,Majene,ID,-3.5403,118.9707,84.0,72,85,8.5,overcast clouds
289,Golden,US,39.7555,-105.2211,74.91,53,57,5.99,broken clouds
290,Fairbanks,US,64.8378,-147.7164,86.49,36,0,1.01,smoke
291,Touros,BR,-5.1989,-35.4608,74.7,91,17,10.47,light rain
292,Hagenow,DE,53.4333,11.1833,53.87,94,4,6.82,clear sky
293,Cambridge,CA,43.3601,-80.3127,72.79,78,100,3.44,overcast clouds
294,Airai,TL,-8.9266,125.4092,69.91,73,58,2.59,broken clouds
295,Sechura,PE,-5.5569,-80.8222,63.28,81,3,13.4,clear sky
296,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.95,85,1,10.56,clear sky
297,Buchanan,LR,5.8808,-10.0467,76.62,79,99,8.03,overcast clouds
298,Pevek,RU,69.7008,170.3133,35.62,99,100,6.58,overcast clouds
299,Harper,LR,4.375,-7.7169,75.97,75,79,8.84,broken clouds
300,Lata,PT,40.1629,-8.3327,55.24,94,6,2.35,clear sky
301,Catia La Mar,VE,10.6038,-67.0303,79.0,83,75,4.61,broken clouds
302,Rawson,AR,-43.3002,-65.1023,38.59,70,47,12.71,scattered clouds
303,Kapuskasing,CA,49.4169,-82.4331,51.8,87,20,5.75,few clouds
304,San Juan,AR,-31.5375,-68.5364,52.39,47,2,11.79,clear sky
305,Son La,VN,21.3167,103.9,81.52,77,66,2.37,broken clouds
306,Mogadishu,SO,2.0371,45.3438,75.33,84,53,16.08,light rain
307,Vary,UA,48.1221,22.7128,68.09,84,55,4.63,light rain
308,Deputatskiy,RU,69.3,139.9,57.79,39,48,1.48,scattered clouds
309,Kunda,IN,25.7167,81.5167,93.99,49,100,2.84,overcast clouds
310,Anadyr,RU,64.75,177.4833,48.7,93,75,11.18,light rain
311,Dingle,PH,10.9995,122.6711,87.35,63,97,3.13,overcast clouds
312,Conde,BR,-7.2597,-34.9075,74.66,100,40,4.61,scattered clouds
